rnl_datetime,raw_concept,processed_concept,type,url,response_received,no_record,response_recorded,compound_match,rn,rn_url
2020-09-15T18:42:29Z,Soltrim,Soltrim,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Soltrim,TRUE,FALSE,TRUE, Sulfametrole mixture with trimethoprim,63749-94-0,https://chem.nlm.nih.gov/chemidplus/rn/63749-94-0
2020-09-15T18:42:33Z,Hextrate,Hextrate,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Hextrate,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:42:36Z,Doxorubin,Doxorubin,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Doxorubin,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:42:40Z,Dalteparin,Dalteparin,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Dalteparin,TRUE,FALSE,TRUE,Heparin sodium,9041-08-1,https://chem.nlm.nih.gov/chemidplus/rn/9041-08-1
2020-09-15T18:42:44Z,Baczole,Baczole,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Baczole,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:42:47Z,Gamifant,Gamifant,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Gamifant,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:42:53Z,Phthoruracil,Phthoruracil,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Phthoruracil,TRUE,FALSE,TRUE, Fluorouracil [USAN:USP:INN:BAN:JAN],51-21-8,https://chem.nlm.nih.gov/chemidplus/rn/51-21-8
2020-09-15T18:44:53Z,Novgos,Novgos,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Novgos,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:44:59Z,Talimogene laherparepvec,Talimogenelaherparepvec,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Talimogenelaherparepvec,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:45:05Z,Accusite,Accusite,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Accusite,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:45:11Z,Fluolex,Fluolex,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Fluolex,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:45:16Z,Bactiver,Bactiver,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Bactiver,TRUE,FALSE,TRUE, Sulfamethoxazole mixture with trimethoprim,8064-90-2,https://chem.nlm.nih.gov/chemidplus/rn/8064-90-2
2020-09-15T18:45:22Z,Ranxas,Ranxas,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Ranxas,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:45:28Z,Thrombace NEO,ThrombaceNEO,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/ThrombaceNEO,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:45:33Z,Dexferrum,Dexferrum,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Dexferrum,TRUE,FALSE,TRUE, Iron dextran [USP],9004-66-4,https://chem.nlm.nih.gov/chemidplus/rn/9004-66-4
2020-09-15T18:45:39Z,Platidiam,Platidiam,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Platidiam,TRUE,FALSE,TRUE, Cisplatin [USAN:USP:INN:BAN:JAN],15663-27-1,https://chem.nlm.nih.gov/chemidplus/rn/15663-27-1
2020-09-15T18:45:45Z,Abiraterone,Abiraterone,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Abiraterone,TRUE,FALSE,TRUE,Abiraterone acetate,154229-18-2,https://chem.nlm.nih.gov/chemidplus/rn/154229-18-2
2020-09-15T18:45:45Z,Abiraterone,Abiraterone,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Abiraterone,TRUE,FALSE,TRUE,Abiraterone,154229-19-3,https://chem.nlm.nih.gov/chemidplus/rn/154229-19-3
2020-09-15T18:45:52Z,Protonix,Protonix,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Protonix,TRUE,FALSE,TRUE, Pantoprazole Sodium [USAN],138786-67-1,https://chem.nlm.nih.gov/chemidplus/rn/138786-67-1
2020-09-15T18:46:04Z,Octrim,Octrim,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Octrim,TRUE,TRUE,FALSE,NA,NA,NA
2020-09-15T18:46:09Z,Osteonato,Osteonato,contains,https://chem.nlm.nih.gov/chemidplus/name/contains/Osteonato,TRUE,TRUE,FALSE,NA,NA,NA
